year,district,local_gov,generated_tpd,collected_tpd,utilized_tpd,proper_tpd,improper_tpd
2564,เมืองชลบุรี,เทศบาลเมืองชลบุรี,172.40,170.10,25.30,120.60,24.20
2564,เมืองชลบุรี,เทศบาลเมืองแสนสุข,64.20,63.00,8.10,41.20,13.70
2564,บางละมุง,เทศบาลเมืองพัทยา,338.50,330.00,40.10,210.40,79.50
2564,บางละมุง,อบต.หนองปรือ,88.30,85.10,5.20,55.60,24.30
2564,ศรีราชา,เทศบาลนครเจ้าพระยาสุรศักดิ์,145.60,140.20,18.40,95.30,26.50
2564,ศรีราชา,อบต.บึง,52.10,49.80,3.00,30.20,16.60
2564,สัตหีบ,เทศบาลเมืองสัตหีบ,95.40,92.10,10.20,60.40,21.50
2564,เกาะสีชัง,เทศบาลตำบลเกาะสีชัง,8.60,8.10,,5.20,2.90
2565,เมืองชลบุรี,เทศบาลเมืองชลบุรี,178.90,176.20,27.10,128.40,20.70
2565,เมืองชลบุรี,เทศบาลเมืองแสนสุข,66.80,65.50,9.00,44.10,12.40
2565,บางละมุง,เทศบาลเมืองพัทยา,352.10,344.60,42.30,226.80,75.50
2565,บางละมุง,อบต.หนองปรือ,91.20,88.40,6.10,58.90,23.40
2565,ศรีราชา,เทศบาลนครเจ้าพระยาสุรศักดิ์,151.30,146.70,19.80,99.50,27.40
2565,ศรีราชา,อบต.บึง,54.00,51.60,3.40,32.80,15.40
2565,สัตหีบ,เทศบาลเมืองสัตหีบ,98.70,95.30,11.00,63.20,21.10
2565,เกาะสีชัง,เทศบาลตำบลเกาะสีชัง,8.90,8.40,0.80,5.60,2.00
2566,เมืองชลบุรี,เทศบาลเมืองชลบุรี,185.20,182.80,29.40,135.10,18.30
2566,เมืองชลบุรี,เทศบาลเมืองแสนสุข,69.50,68.20,9.80,46.90,11.50
2566,บางละมุง,เทศบาลเมืองพัทยา,368.40,360.10,45.20,241.30,73.60
2566,บางละมุง,อบต.หนองปรือ,95.60,92.30,7.20,62.10,23.00
2566,ศรีราชา,เทศบาลนครเจ้าพระยาสุรศักดิ์,158.10,153.40,21.50,104.20,27.70
2566,ศรีราชา,อบต.บึง,56.30,53.90,3.80,35.10,15.00
2566,สัตหีบ,เทศบาลเมืองสัตหีบ,102.30,98.60,11.90,66.40,20.30
2566,เกาะสีชัง,เทศบาลตำบลเกาะสีชัง,9.20,,0.90,5.90,2.30
